"","S73","S74","S81","S82","S87","S88","S95","S96"
"ASV_1",146,300,36,186,64,89,88,197
"ASV_47",2,7,12,8,0,4,10,3
"ASV_27",3,5,46,20,0,105,0,2
"ASV_8",31,18,57,24,0,32,44,37
"ASV_12",11,4,69,33,0,28,6,6
"ASV_57",3,7,8,1,13,3,12,5
"ASV_3",158,37,50,42,270,16,103,85
"ASV_33",57,0,18,13,35,11,25,11
"ASV_53",15,0,15,8,10,0,29,0
"ASV_20",14,11,32,14,0,31,34,13
"ASV_35",10,8,11,16,30,16,6,2
"ASV_7",21,18,42,13,0,88,20,4
"ASV_13",41,25,68,18,0,28,72,24
"ASV_26",4,17,31,13,42,17,4,0
"ASV_66",5,3,11,11,0,13,0,5
"ASV_37",0,24,0,15,0,16,115,37
"ASV_2",63,92,103,172,302,121,146,73
"ASV_40",4,14,6,10,14,15,13,7
"ASV_6",27,30,22,7,0,20,39,51
