,Apr_M,Jun_M,Jul5_M,Jul20_M,Sep_M,Apr_D,Jun_D,Jul5_D,Jul20_D,Sep_D,Apr_K,Jun_K,Jul5_K,Jul20_K,Sep_K
AOB_ASV 40,0,0,0,0,0,0,0,-1.64385619,0,0,-1.427421224,0,0,0,0
AOB_ASV 87,0,0,0,0,0,0,0,0,0,0,5.247927513,0,0,0,0
AOB_ASV 8,0,-0.819918384,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 12,0,-1.764070824,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 20,0,-0.939458458,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 44,0,0,0,0,0,0,-1.188445089,-1.784271309,0,0,0,0,0,0,0
AOB_ASV 63,0,0,0,0,0,0,-6.442943496,0,0,0,0,0,0,0,0
AOB_ASV 64,0,0,0,0,0,0,0,-3.392317423,0,-1.321928095,0,-2.157541277,-2.321928095,0,-3
AOB_ASV 57,0,0,-1.898120386,-1.169925001,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 71,0,0,1.688055994,0,0,0,0,0,0,0,0,0,0,1.710493383,0
AOB_ASV 1,0,0,0,1.208752745,0,0,0,0.194999316,0,0,0,0,0,0,0
AOB_ASV 5,0,0,0,0,0,0,0,0.522996747,0,0,0,0,0,0,0
AOB_ASV 21,0,0,0,0,0,0,0,-1.922832139,0,0,0,0,0,0,0
AOB_ASV 23,0,0,0,0,0,0,0,-2.125530882,0,0,0,0,0,0,0
AOB_ASV 72,0,0,0,0,0,0,0,-1.754887502,0,0,0,0,0,0,0
AOB_ASV 54,0,0,0,0,0,0,0,0,0,0,0,0,-2.502500341,0,0
AOB_ASV 59,0,0,0,0,0,0,0,0,0,0,0,0,4.297680549,0,0
AOB_ASV 3,0,0,0,-1.690541257,0,0,0,0,0,0,0,0,0,0,1.258734268
AOB_ASV 33,0,0,0,-1.94753258,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 53,0,0,0,-3.108524457,0,0,0,0,0,0,0,0,0,0,0
AOB_ASV 86,0,0,0,0,0,0,0,0,-4.187627003,0,0,0,0,0,0
AOB_ASV 117,0,0,0,0,0,0,0,0,1.054447784,0,0,0,0,0,0
AOB_ASV 56,0,0,0,0,-1.72935241,0,0,0,0,0,0,0,0,0,0
AOB_ASV 35,0,0,0,0,-2.765534746,0,0,0,0,0,0,0,0,0,0
AOB_ASV 28,0,0,0,0,2.517848305,0,0,0,0,0,0,0,0,0,0
AOB_ASV 2,0,0,0,0,0.880701072,0,0,0,0,0,0,0,0,0,0
AOB_ASV 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.459431619
AOB_ASV 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807354922
AOB_ASV 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.938599455
AOB_ASV 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.169925001
AOA_ASV 18,0,0,0,0,0,0.272433104,0.795415309,0,0,0,0,0,0,0,0
AOA_ASV 106,0,0,0,0,0,-1.819427754,0,0,0,0,0,0,0,0,0
AOA_ASV 1,0,0,0,0,0,0,0,0,0,0,0.387913346,0,0,0,0
AOA_ASV 29,0,0,0,0,0,0,0.91753784,0,0,0,0,0,0,0,0
AOA_ASV 27,0,0,0,0,0,0,-0.46872537,0,0,0,0,0,0,0,0
AOA_ASV 49,0,0,0,0,2.338801913,0,0,0,0,0,0,2.247927513,0,0,0
AOA_ASV 80,0,0,0,0,0,0,0,-1.426264755,0,0,0,0,0,0,0
AOA_ASV 53,0,0,0,0,0,0,0,-2.573466862,0,1.571156701,0,0,0,0,0
AOA_ASV 86,0,0,0,0,0,0,0,-1.847996907,0,0,0,0,0,0,0
AOA_ASV 125,0,0,0,0,0,0,0,0,0,0,0,0,2.321928095,0,0
AOA_ASV 61,0,0,0,0,0,0,0,0,-1.707819249,-1.584962501,0,0,0,0,0
AOA_ASV 93,0,0,0,0,0,0,0,0,2.523561956,0,0,0,0,0,0
AOA_ASV 38,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.309855263,-0.774118593
AOA_ASV 84,0,0,0,0,0,0,0,0,0,1.807354922,0,0,0,0,0
AOA_ASV 95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.027480736
AOA_ASV 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416473731
COM_ASV 23,0,0,0,0,0,-1.434231065,-1.004616628,0,0,0,0,0,0,0,0
COM_ASV 33,0,0,0,0,0,-1.957771765,0,0,0,0,0,0,0,0,0
COM_ASV 143,0,0,0,0,0,-1.273018494,0,0,0,0,0,0,0,0,0
COM_ASV 153,0,0,0,0,0,3.772589504,0,0,0,0,0,0,0,0,0
COM_ASV 74,0,0,0,0,0,0,0,0,0,0,2.550197083,0,0,0,0
COM_ASV 59,0,0,0,0,0,0,0,0,0,0,1.401098308,0,0,0,0
COM_ASV 3,0,-0.836038442,0,0,-0.943211638,0,0,0,0,0,0,0,0,0,0
COM_ASV 119,0,0,0,0,0,0,-2.321928095,0,0,-1.540568381,0,0,0,0,0
COM_ASV 128,0,0,0,0,0,0,0,2.584962501,0,0,0,0,0,0,0
COM_ASV 48,0,0,0,0,0,0,0,0,0,0,0,0,2.215012891,0,0
COM_ASV 4,0,0,0,0,0,0,0,0,0,0,0,0,0.393544438,0,0
COM_ASV 25,0,0,0,-2.321928095,-1.923764414,0,0,0,0,0,0,0,0,0,0
COM_ASV 11,0,0,0,0,0,0,0,0,-0.900234799,0,0,0,0,0,0
COM_ASV 93,0,0,0,0,-2.209453366,0,0,0,0,0,0,0,0,-2.712718048,0
COM_ASV 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.943416472
COM_ASV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414131875
COM_ASV 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.337034987
